id,ACR_MD,ACR-L_MD,ACR-R_MD,ALIC_MD,ALIC-L_MD,ALIC-R_MD,AverageFA_MD,BCC_MD,CC_MD,CGC_MD,CGC-L_MD,CGC-R_MD,CGH_MD,CGH-L_MD,CGH-R_MD,CR_MD,CR-L_MD,CR-R_MD,CST_MD,CST-L_MD,CST-R_MD,EC_MD,EC-L_MD,EC-R_MD,FX_MD,FX/ST-L_MD,FX/ST-R_MD,FXST_MD,GCC_MD,IC_MD,IC-L_MD,IC-R_MD,IFO_MD,IFO-L_MD,IFO-R_MD,PCR_MD,PCR-L_MD,PCR-R_MD,PLIC_MD,PLIC-L_MD,PLIC-R_MD,PTR_MD,PTR-L_MD,PTR-R_MD,RLIC_MD,RLIC-L_MD,RLIC-R_MD,SCC_MD,SCR_MD,SCR-L_MD,SCR-R_MD,SFO_MD,SFO-L_MD,SFO-R_MD,SLF_MD,SLF-L_MD,SLF-R_MD,SS_MD,SS-L_MD,SS-R_MD,UNC_MD,UNC-L_MD,UNC-R_MD
SPN01_MRC_0005_01,0.00122913,0.00128553,0.00117241,0.00226174,0.0024347,0.00210452,0.00132903,0.00216399,0.00218907,0.000873809,0.000897763,0.000848186,0.00218916,0.00217397,0.00220446,0.00118686,0.00120983,0.00116468,0.000959138,0.000931716,0.000988269,0.00133578,0.00132624,0.00134528,0.00269588,0.00156861,0.00134909,0.00147222,0.00222813,0.00154348,0.00160212,0.00148783,0.0016718,0.00149025,0.00182309,0.00138732,0.00137479,0.00139848,0.000910639,0.000926813,0.000894628,0.00160583,0.00178229,0.00143479,0.00156937,0.0015989,0.00154152,0.0021925,0.00103556,0.00104064,0.00103068,0.00241902,0.0027774,0.00207162,0.00101786,0.00105016,0.000986237,0.00161878,0.00179274,0.00144428,0.00259135,0.00263802,0.00255919
SPN01_MRC_0015_01,0.00110093,0.0011475,0.00105409,0.00156708,0.00178036,0.00137322,0.00119238,0.00195278,0.00201481,0.000806735,0.000823565,0.000788733,0.00191703,0.00177031,0.00206487,0.00106958,0.00108867,0.00105115,0.000850439,0.000790955,0.00091967,0.00102183,0.00103265,0.00101106,0.00246213,0.00124353,0.00121194,0.00122966,0.0020465,0.00125909,0.00134929,0.00117348,0.00109604,0.00110821,0.00108589,0.00133382,0.00132927,0.00133787,0.000846979,0.00088761,0.000806758,0.00175883,0.00177657,0.00173824,0.00143718,0.00148391,0.00139312,0.00207483,0.000897592,0.000901299,0.000894027,0.00191234,0.002333,0.00150455,0.000895056,0.000904627,0.000885686,0.00132676,0.00132904,0.00132447,0.00246139,0.00243888,0.0024769
SPN01_ZHH_0028_01,0.00117136,0.00112021,0.0012228,0.00106444,0.00093196,0.00118487,0.00127479,0.00180957,0.0020199,0.000884013,0.00090143,0.000865383,0.00264434,0.00261134,0.0026776,0.00108935,0.00104106,0.00113599,0.00118674,0.00107878,0.00130236,0.0010548,0.00106628,0.00104337,0.00271367,0.00140601,0.00135956,0.00138561,0.00203872,0.00109522,0.00100745,0.00117852,0.00103159,0.00111856,0.000959118,0.00140352,0.00133755,0.00146228,0.000817786,0.000801118,0.000834285,0.00164931,0.00169469,0.00160533,0.00145546,0.00133317,0.00157077,0.00229374,0.000834463,0.000802494,0.000865212,0.000892882,0.000865138,0.000919776,0.000876829,0.000889178,0.000864738,0.00125277,0.00131109,0.00119427,0.0027361,0.00276254,0.00271787
SPN01_MRC_0020_01,0.00116269,0.00119388,0.00113132,0.00215917,0.00233399,0.00200026,0.00116644,0.0019497,0.00200497,0.000820057,0.000850809,0.000787163,0.00180876,0.00195843,0.00165794,0.00107506,0.00109357,0.00105718,0.000951223,0.000960353,0.000937452,0.00095101,0.000950316,0.000951702,0.00259573,0.00109616,0.00103908,0.0010711,0.00220376,0.00135106,0.00143672,0.00126975,0.00108581,0.000961845,0.00118912,0.00127073,0.00127961,0.00126282,0.000807322,0.000851946,0.000763148,0.00141555,0.00157439,0.00126159,0.00118052,0.00125935,0.0011062,0.00192311,0.000875134,0.000885548,0.000865117,0.00209197,0.00258071,0.00161819,0.000809762,0.000820408,0.000799338,0.00114397,0.00122055,0.00106716,0.00204106,0.00223296,0.0019088
SPN01_CMH_0030_01,0.00116573,0.00123635,0.00109471,0.00145441,0.00160004,0.00132203,0.00141269,0.00213224,0.00226831,0.000958244,0.00100031,0.000913247,0.0033,0.00331146,0.00328845,0.00117289,0.00117621,0.00116969,0.00178712,0.00173831,0.00183939,0.00111155,0.00107427,0.00114867,0.00310562,0.00146611,0.00142263,0.00144702,0.00207663,0.00124328,0.00131388,0.00117627,0.00136955,0.00132798,0.00140419,0.00151898,0.00145031,0.00158015,0.000930119,0.00096998,0.00089066,0.00181022,0.00193704,0.0016873,0.00140174,0.00144876,0.00135741,0.00260725,0.00100193,0.00097069,0.00103198,0.00179623,0.00204106,0.0015589,0.000964685,0.00096012,0.000969154,0.00130395,0.00145217,0.00115527,0.00311006,0.00307082,0.0031371
SPN01_MRC_0022_01,0.000796036,0.000835753,0.000756089,0.000784037,0.000794886,0.000774176,0.00107212,0.0013076,0.00143065,0.000820591,0.000849897,0.000789243,0.00193901,0.00207123,0.00180578,0.000848952,0.000858465,0.000839765,0.000883788,0.000857846,0.000911571,0.000918617,0.000951181,0.000886188,0.00226012,0.00110648,0.00114199,0.00112207,0.00104275,0.000861441,0.000865446,0.00085764,0.00122197,0.00109691,0.00132619,0.00118177,0.00113852,0.0012203,0.000727198,0.000733555,0.000720905,0.00143943,0.00157641,0.00130666,0.00109885,0.00109574,0.00110178,0.00190743,0.000736395,0.000745425,0.000727709,0.000724281,0.000739625,0.000709407,0.00086153,0.000883045,0.000840464,0.0011579,0.00121984,0.00109576,0.00216703,0.00208252,0.00222528
SPN01_MRC_0026_01,0.0010034,0.00111188,0.0008943,0.00124932,0.00147103,0.00104779,0.00123701,0.00198528,0.00199201,0.000868208,0.000920808,0.000811943,0.00219077,0.00238923,0.00199078,0.00101643,0.00107436,0.000960477,0.000754247,0.000722633,0.000797897,0.00100351,0.00107002,0.000937283,0.00251262,0.00123244,0.00118057,0.00120966,0.0019093,0.00109721,0.00119915,0.00100046,0.00108395,0.00116157,0.00101926,0.00131999,0.00132317,0.00131715,0.000803522,0.00081646,0.000790715,0.00171656,0.00206262,0.00138114,0.00129214,0.00139535,0.00119482,0.0020669,0.000874071,0.000907466,0.000841949,0.00135487,0.00175051,0.000971347,0.000934646,0.000982391,0.000887899,0.00110839,0.00123774,0.000978647,0.00248826,0.00271881,0.00232936
SPN01_CMH_0026_01,0.000952056,0.000942926,0.000961238,0.0010393,0.00100511,0.00107038,0.00121078,0.00168978,0.0018119,0.000918058,0.000932178,0.000902955,0.00283785,0.00294763,0.00272722,0.000989847,0.000966995,0.00101192,0.00146287,0.00156775,0.00135055,0.000944758,0.000973548,0.000916087,0.0027017,0.0012608,0.00134027,0.00129569,0.00144073,0.000992789,0.000983086,0.001002,0.00122777,0.00133161,0.00114124,0.00138357,0.00131053,0.00144864,0.000827359,0.000829307,0.000825431,0.00150448,0.00156518,0.00144565,0.00114212,0.00114831,0.00113629,0.00227412,0.000828746,0.000823963,0.000833346,0.00086268,0.000863735,0.000861658,0.000855676,0.000881903,0.000829998,0.00107748,0.00112111,0.00103371,0.00289672,0.00298642,0.0028349
SPN01_CMH_0029_01,0.0010102,0.00105091,0.000969256,0.00102118,0.0010448,0.000999704,0.001399,0.00192183,0.00206525,0.0010105,0.00102912,0.000990587,0.00305875,0.00315848,0.00295825,0.001054,0.00105203,0.00105591,0.0015211,0.00162199,0.00141305,0.00112629,0.00109934,0.00115312,0.00283716,0.00144208,0.00139613,0.0014219,0.00178626,0.00108766,0.00108736,0.00108794,0.00146254,0.00144984,0.00147312,0.00146038,0.00140691,0.00150801,0.000909784,0.000934008,0.000885805,0.0016852,0.00176802,0.00160493,0.00136581,0.00131603,0.00141274,0.00248357,0.000893123,0.000876911,0.000908717,0.000975922,0.00106697,0.000887661,0.00097502,0.000956356,0.000993294,0.00132779,0.00143916,0.00121608,0.00297032,0.00300203,0.00294847
SPN01_MRC_0030_01,0.000800835,0.000847047,0.000754357,0.000809973,0.000782594,0.00083486,0.00114952,0.00126139,0.00146231,0.000902021,0.000908081,0.000895539,0.00196094,0.00196227,0.0019596,0.000857217,0.000874305,0.000840714,0.000945631,0.000859513,0.00103786,0.00104379,0.00103693,0.00105062,0.00223072,0.00119096,0.0011943,0.00119243,0.00122086,0.00092011,0.000931484,0.000909315,0.0012757,0.00115823,0.00137359,0.0011866,0.00117476,0.00119714,0.000728917,0.00072424,0.000733546,0.00149544,0.0016907,0.00130617,0.00125813,0.001331,0.00118942,0.0019298,0.000750341,0.00075636,0.000744551,0.000706925,0.000698906,0.000714699,0.000914482,0.000925295,0.000903895,0.00125461,0.00130245,0.00120663,0.00235549,0.00261992,0.00217325
