id,ACR_FA,ACR-L_FA,ACR-R_FA,ALIC_FA,ALIC-L_FA,ALIC-R_FA,AverageFA_FA,BCC_FA,CC_FA,CGC_FA,CGC-L_FA,CGC-R_FA,CGH_FA,CGH-L_FA,CGH-R_FA,CR_FA,CR-L_FA,CR-R_FA,CST_FA,CST-L_FA,CST-R_FA,EC_FA,EC-L_FA,EC-R_FA,FX_FA,FX/ST-L_FA,FX/ST-R_FA,FXST_FA,GCC_FA,IC_FA,IC-L_FA,IC-R_FA,IFO_FA,IFO-L_FA,IFO-R_FA,PCR_FA,PCR-L_FA,PCR-R_FA,PLIC_FA,PLIC-L_FA,PLIC-R_FA,PTR_FA,PTR-L_FA,PTR-R_FA,RLIC_FA,RLIC-L_FA,RLIC-R_FA,SCC_FA,SCR_FA,SCR-L_FA,SCR-R_FA,SFO_FA,SFO-L_FA,SFO-R_FA,SLF_FA,SLF-L_FA,SLF-R_FA,SS_FA,SS-L_FA,SS-R_FA,UNC_FA,UNC-L_FA,UNC-R_FA
SPN01_ZHH_0015_01,0.491367,0.468816,0.514049,0.591635,0.586924,0.595917,0.437052,0.672802,0.704336,0.616345,0.623733,0.608443,0.549434,0.515714,0.583412,0.492683,0.478878,0.506015,0.586842,0.614277,0.557459,0.456318,0.451035,0.461579,0.454914,0.533165,0.563891,0.546657,0.701431,0.636901,0.632072,0.641484,0.501123,0.483348,0.515936,0.473606,0.47244,0.474644,0.699611,0.690764,0.708369,0.578234,0.577667,0.578783,0.608186,0.605399,0.610813,0.749939,0.504033,0.493669,0.514001,0.511429,0.487296,0.534824,0.488003,0.481536,0.494334,0.552383,0.546043,0.558743,0.540827,0.5371,0.543396
SPN01_MRC_0031_01,0.426367,0.396285,0.456623,0.52098,0.490806,0.548407,0.394656,0.608188,0.642647,0.553686,0.570476,0.535727,0.542868,0.607866,0.477373,0.455223,0.451125,0.45918,0.537196,0.552261,0.521061,0.406529,0.39917,0.413857,0.28247,0.46503,0.433419,0.45115,0.641941,0.575641,0.576304,0.575012,0.511935,0.515615,0.508868,0.437928,0.45412,0.423505,0.656022,0.663496,0.648623,0.520372,0.526976,0.51397,0.535443,0.554931,0.517069,0.690519,0.49667,0.512812,0.481144,0.484881,0.481372,0.488283,0.455851,0.47788,0.434282,0.48236,0.495834,0.468845,0.472702,0.470981,0.473888
SPN01_ZHH_P002_01,0.510218,0.509937,0.510501,0.610351,0.607518,0.612926,0.460001,0.664521,0.715966,0.573214,0.614779,0.528753,0.546392,0.532789,0.560099,0.522914,0.514527,0.531013,0.567326,0.559979,0.575148,0.436885,0.429484,0.444255,0.490453,0.583844,0.590625,0.586821,0.725342,0.653186,0.656704,0.649847,0.456982,0.4206,0.4873,0.535547,0.501422,0.565945,0.715682,0.705476,0.725784,0.628724,0.630584,0.626921,0.622271,0.646096,0.599807,0.77916,0.530678,0.526329,0.534862,0.554316,0.544632,0.563704,0.538807,0.538015,0.539582,0.552862,0.555247,0.55047,0.560785,0.47827,0.617653
SPN01_CMH_0031_01,0.415212,0.412894,0.417543,0.525317,0.546406,0.506148,0.416249,0.584087,0.648754,0.533027,0.546425,0.518695,0.491956,0.481436,0.502556,0.444576,0.442894,0.4462,0.541655,0.548137,0.534712,0.430135,0.44508,0.415252,0.4429,0.518131,0.516415,0.517378,0.646079,0.595134,0.603477,0.587216,0.485745,0.481644,0.489162,0.481535,0.467821,0.493752,0.663435,0.660649,0.666193,0.607926,0.600202,0.615412,0.584565,0.590462,0.579004,0.739663,0.458532,0.465064,0.45225,0.45754,0.485868,0.430079,0.477693,0.480346,0.475096,0.53419,0.530281,0.53811,0.494867,0.460352,0.518654
SPN01_ZHH_0018_01,0.496311,0.490776,0.501877,0.551232,0.555037,0.547774,0.435497,0.650696,0.690868,0.578155,0.605157,0.549271,0.52025,0.510795,0.529777,0.489236,0.486791,0.491598,0.575725,0.57143,0.580324,0.435279,0.428709,0.441822,0.510155,0.556984,0.523576,0.542315,0.685743,0.629192,0.637346,0.621454,0.430929,0.425103,0.435784,0.490304,0.49158,0.489167,0.692949,0.70198,0.68401,0.596453,0.599909,0.593104,0.632234,0.640249,0.624676,0.75009,0.480716,0.479819,0.481579,0.528461,0.517022,0.539549,0.516127,0.512339,0.519836,0.5629,0.550067,0.575772,0.52515,0.506345,0.53811
SPN01_ZHH_0022_01,0.394793,0.392958,0.396639,0.54388,0.546148,0.541818,0.392285,0.550487,0.594561,0.546117,0.541698,0.550845,0.493571,0.486843,0.50035,0.429502,0.427005,0.431913,0.556157,0.524056,0.590536,0.445142,0.439411,0.45085,0.331229,0.490344,0.503904,0.496298,0.621781,0.596523,0.60265,0.590707,0.468886,0.44108,0.492058,0.431597,0.42796,0.434837,0.659594,0.661818,0.657392,0.481501,0.460412,0.501942,0.574824,0.586645,0.563679,0.633472,0.467513,0.465752,0.469206,0.449932,0.433397,0.465961,0.45601,0.428152,0.483286,0.505043,0.503578,0.506513,0.382906,0.345051,0.408995
SPN01_CMH_P002_01,0.457964,0.453365,0.462589,0.563612,0.563902,0.563349,0.434766,0.650916,0.694824,0.548577,0.583196,0.511546,0.546566,0.513735,0.579649,0.491965,0.484765,0.498919,0.529366,0.5185,0.541116,0.402499,0.398273,0.406708,0.455956,0.558961,0.582008,0.569081,0.678778,0.615685,0.621727,0.609951,0.43797,0.435167,0.440305,0.522139,0.48607,0.554268,0.665527,0.667328,0.663744,0.612197,0.608787,0.615502,0.609108,0.623532,0.595509,0.767842,0.514655,0.520288,0.509237,0.521044,0.495321,0.545979,0.522787,0.517219,0.528239,0.541186,0.538679,0.5437,0.557876,0.474696,0.615203
SPN01_MRC_0014_01,0.48842,0.48125,0.495632,0.581419,0.587192,0.576172,0.437465,0.69751,0.729598,0.616646,0.646974,0.584204,0.528434,0.536165,0.520643,0.495194,0.493636,0.496698,0.531815,0.533146,0.530389,0.47296,0.467525,0.478372,0.438063,0.537379,0.466824,0.506399,0.712987,0.599404,0.60901,0.590288,0.507922,0.53584,0.484657,0.48644,0.483477,0.489079,0.643933,0.641295,0.646544,0.569968,0.559274,0.580333,0.564725,0.59135,0.539621,0.786838,0.507351,0.512954,0.501961,0.582107,0.557792,0.605678,0.517304,0.50563,0.528733,0.534321,0.547076,0.521526,0.579785,0.582412,0.577974
SPN01_CMH_P003_01,0.473523,0.473091,0.473958,0.574937,0.598394,0.553616,0.434335,0.631285,0.692707,0.610291,0.638692,0.579911,0.567576,0.523733,0.611754,0.4929,0.496672,0.489256,0.557404,0.562563,0.551878,0.477839,0.506745,0.449052,0.214626,0.554863,0.588488,0.569628,0.670923,0.638984,0.652932,0.625747,0.602595,0.566886,0.632352,0.516953,0.513553,0.519982,0.707069,0.71497,0.699248,0.589784,0.565887,0.612946,0.622848,0.631491,0.614699,0.794326,0.502281,0.515446,0.489619,0.505982,0.529488,0.483196,0.513586,0.516584,0.51065,0.580802,0.587406,0.574177,0.59814,0.552861,0.629345
SPN01_MRC_0006_01,0.422082,0.406918,0.437333,0.538435,0.526622,0.549172,0.402495,0.567757,0.598636,0.547994,0.540551,0.555955,0.527924,0.560676,0.494921,0.476352,0.474654,0.477992,0.526705,0.548212,0.503647,0.428022,0.423797,0.432229,0.0969284,0.531411,0.460135,0.500114,0.643696,0.595637,0.603786,0.587903,0.497394,0.49412,0.500123,0.450698,0.441461,0.458926,0.674711,0.683617,0.665895,0.560319,0.563531,0.557205,0.559554,0.583112,0.537342,0.605272,0.55075,0.569183,0.533019,0.482198,0.467199,0.496737,0.478711,0.481417,0.476062,0.477184,0.490468,0.463859,0.485871,0.471617,0.495695
SPN01_MRC_P001_01,0.433895,0.428878,0.43894,0.561195,0.561746,0.560694,0.408892,0.617122,0.662165,0.551968,0.608779,0.491197,0.452562,0.436452,0.468796,0.471725,0.483381,0.460468,0.53181,0.537418,0.525813,0.422572,0.417805,0.427319,0.173724,0.494243,0.462382,0.480253,0.659187,0.61298,0.622725,0.603732,0.48999,0.469852,0.506772,0.485903,0.500504,0.472896,0.678153,0.684462,0.671908,0.590042,0.567099,0.61228,0.587922,0.608028,0.568965,0.726373,0.507001,0.537655,0.477516,0.471165,0.491371,0.451577,0.508969,0.507778,0.510135,0.532978,0.543224,0.5227,0.537115,0.509661,0.556036
SPN01_ZHH_P003_01,0.502214,0.502918,0.501506,0.616384,0.623623,0.609803,0.461194,0.638862,0.697676,0.628483,0.659407,0.595405,0.544645,0.52104,0.568431,0.513774,0.51367,0.513874,0.623198,0.629102,0.616875,0.502466,0.525143,0.479883,0.196759,0.573819,0.586938,0.579579,0.685912,0.671031,0.674801,0.667453,0.598861,0.571897,0.62133,0.521071,0.531645,0.511652,0.743196,0.736395,0.749928,0.609725,0.588821,0.629986,0.640566,0.650571,0.631132,0.787765,0.523019,0.517122,0.528692,0.532922,0.543268,0.522892,0.542938,0.536612,0.549131,0.582965,0.590254,0.575653,0.581276,0.567673,0.590651
SPN01_ZHH_0011_01,0.471767,0.477047,0.466457,0.547728,0.545996,0.549303,0.439331,0.687023,0.710626,0.595177,0.62306,0.56535,0.540681,0.527203,0.554263,0.484913,0.482909,0.486848,0.584893,0.581971,0.588023,0.472401,0.456538,0.488198,0.555603,0.568305,0.594633,0.579865,0.695406,0.609113,0.609543,0.608705,0.537269,0.54597,0.530019,0.484308,0.485225,0.483491,0.685343,0.680242,0.690393,0.595257,0.590388,0.599977,0.580624,0.586489,0.575095,0.75511,0.500033,0.488512,0.511114,0.513586,0.520047,0.507323,0.501178,0.492851,0.509331,0.553052,0.552808,0.553297,0.569467,0.553734,0.58031
