conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.024472,0.036199,3.6904,3.5,0.020605,0.22659,53.337,2126.5,2136.5
0.024472,0.036199,9.227,3.5,0.055863,0.36006,27.432,4045,2913.5
0.024472,0.036199,15.056,2.88,0.16324,0.45115,13.965,10140,6481
0.024472,0.036199,22.283,2.35,0.24002,0.47625,12.997,12860,9617.5
0.024472,0.036199,30.199,2.84,0.29243,0.54213,9.4585,12516,9504.5
0.024472,0.036199,37.03,2.9,0.32404,0.54496,6.8015,12838,11576
0.024472,0.036199,43.972,2.5,0.35697,0.54781,6.3863,12852,11764
0.024472,0.036199,49.949,2.74,0.38901,0.52068,5.3501,12774,11679
0.024472,0.036199,56.028,2.79,0.41149,0.5181,4.438,12741,12264
0.024472,0.036199,62.355,3.5,0.43028,0.51019,4.2374,12743,11912
0.024472,0.036199,68.566,3.11,0.44934,0.51482,3.928,12635,12403
0.024472,0.036199,73.542,3.5,0.46545,0.5077,3.6314,12714,12185
0.024472,0.036199,79.403,3.5,0.47902,0.50647,3.4666,12522,12327
0.024472,0.036199,83.616,3.5,0.4961,0.50484,3.1658,12558,12586
0.024472,0.036199,83.512,3.5,0.50872,0.4992,2.8948,12682,12402
0.024472,0.036199,85.493,3.5,0.52114,0.49965,2.744,12662,12342
0.024472,0.036199,90.867,3.5,0.53618,0.50064,2.6121,12905,12709
0.024472,0.036199,91.531,3.5,0.55223,0.49868,2.457,12898,12694
0.024472,0.036199,94.898,3.5,0.56205,0.4996,2.3564,13020,12754
0.024472,0.036199,98.236,3.5,0.57212,0.49927,2.2558,12880,12746
