conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.056943,0.019491,4.0803,3.5,0.049731,0.15539,17.526,4419.5,3497
0.056943,0.019491,10.925,3.5,0.12315,0.22518,10.532,8627.5,6403
0.056943,0.019491,19.295,3.5,0.19511,0.31782,7.173,10958,7928.5
0.056943,0.019491,27.226,3.5,0.24053,0.34308,6.4815,11223,9147.5
0.056943,0.019491,36.123,3.5,0.29217,0.37129,5.4101,12090,10380
0.056943,0.019491,46.502,3.5,0.33653,0.39448,4.5491,12538,11274
0.056943,0.019491,56.009,3.5,0.36474,0.41838,4.1842,11976,11331
0.056943,0.019491,66.264,3.5,0.39548,0.43567,4.0432,12511,11452
0.056943,0.019491,75.55,3.5,0.41605,0.46908,3.2472,12388,12246
0.056943,0.019491,92.128,3.5,0.4363,0.47009,3.0326,12421,11913
0.056943,0.019491,107.36,3.5,0.45631,0.47723,2.8048,12384,12050
0.056943,0.019491,119.28,3.5,0.47008,0.48,2.6755,12398,12126
0.056943,0.019491,130.5,3.5,0.48457,0.48816,2.529,12556,12170
0.056943,0.019491,136.48,3.5,0.5049,0.48359,2.3743,12689,12290
0.056943,0.019491,145.5,3.5,0.51756,0.47984,2.2939,12770,12640
0.056943,0.019491,155.17,3.5,0.53647,0.48551,2.1893,12960,12616
0.056943,0.019491,163.07,3.5,0.54612,0.48706,2.0171,12928,12630
0.056943,0.019491,174.55,3.5,0.55638,0.48916,2.0626,12962,12704
0.056943,0.019491,183.3,3.5,0.56563,0.49205,1.9589,12935,12680
0.056943,0.019491,195.96,3.5,0.57417,0.504,1.8985,12962,12746
