conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.084475,0.033132,3.3005,2.53,0.032652,0.17015,62.704,4875,1987
0.084475,0.033132,8.2962,3.5,0.095187,0.27891,15.934,8778,5248.5
0.084475,0.033132,15.308,2.19,0.19205,0.3393,11.135,10080,8760.5
0.084475,0.033132,21.679,3.5,0.2464,0.41364,7.2222,12618,8574
0.084475,0.033132,28.111,3.5,0.29467,0.44069,6.8112,12483,10024
0.084475,0.033132,35.231,3.5,0.33429,0.45873,5.3994,12818,11556
0.084475,0.033132,40.752,3.5,0.36061,0.46604,5.3788,12264,11574
0.084475,0.033132,47.66,3.5,0.3809,0.47774,5.0968,12412,11716
0.084475,0.033132,54.078,3.5,0.40297,0.48431,4.7784,12286,12165
0.084475,0.033132,59.009,3.5,0.41944,0.48332,4.3155,12298,12167
0.084475,0.033132,65.132,3.5,0.44165,0.4922,3.7612,12492,12288
0.084475,0.033132,69.353,3.5,0.46132,0.50573,3.8129,12502,12517
0.084475,0.033132,74.384,3.5,0.47458,0.50629,3.3018,12481,12333
0.084475,0.033132,80.748,3.5,0.48623,0.51437,3.1739,12543,12305
0.084475,0.033132,89.235,3.5,0.50305,0.52181,3.0649,12465,12534
0.084475,0.033132,96.939,3.5,0.51383,0.52533,2.7418,12484,12380
0.084475,0.033132,106.49,3.5,0.52414,0.53331,2.7536,12472,12572
0.084475,0.033132,114.25,3.5,0.53358,0.539,2.6385,12474,12710
0.084475,0.033132,122.41,3.5,0.5434,0.54447,2.4881,12471,12430
0.084475,0.033132,127.05,3.5,0.55706,0.54428,2.3629,12611,12533
