conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.14827,0.032253,3.5898,3.12,0.030347,0.17248,26.63,4843.5,2915.5
0.14827,0.032253,7.9063,3.01,0.088845,0.32119,27.144,5740,4473
0.14827,0.032253,13.886,3.5,0.19228,0.3829,12.1,12284,7896.5
0.14827,0.032253,21.402,3.17,0.26119,0.40111,8.2234,14134,8724
0.14827,0.032253,30.098,3.44,0.30856,0.4202,5.8781,13811,10158
0.14827,0.032253,38.942,3.36,0.35134,0.42885,5.2681,13126,11410
0.14827,0.032253,47.418,3.5,0.38368,0.46064,4.7883,13215,11934
0.14827,0.032253,55.924,2.71,0.40677,0.47491,4.1538,13214,11904
0.14827,0.032253,69.499,2.59,0.42883,0.48369,3.4176,13192,12488
0.14827,0.032253,80.556,2.57,0.44835,0.48847,3.1666,13100,12368
0.14827,0.032253,92.314,2.6,0.46461,0.48293,3.1065,13208,12504
0.14827,0.032253,104.79,2.65,0.48019,0.48522,2.794,12834,12536
0.14827,0.032253,120.21,2.52,0.49288,0.49164,2.5594,12955,12570
0.14827,0.032253,135.19,2.78,0.50558,0.49822,2.4305,12813,12656
0.14827,0.032253,148.17,2.59,0.5174,0.50822,2.3359,12844,12710
0.14827,0.032253,164.37,3.5,0.52875,0.50558,2.1996,12852,12702
0.14827,0.032253,181.06,3.5,0.53812,0.51072,2.1338,12898,12682
0.14827,0.032253,197.28,3.5,0.54799,0.51581,1.9872,12832,12736
0.14827,0.032253,215.46,3.5,0.55768,0.5197,1.8801,12850,12700
0.14827,0.032253,233,3.5,0.56596,0.52554,1.8178,12840,12702
