conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.22865,0.028707,3.8791,3.5,0.032033,0.20019,64.842,4316.5,2303
0.22865,0.028707,12.409,3.5,0.11199,0.27121,9.0463,9068,6515
0.22865,0.028707,25.056,3.5,0.16025,0.32192,6.5929,9149,7471
0.22865,0.028707,42.245,3.5,0.20012,0.37646,4.8988,8497,8421.5
0.22865,0.028707,60.199,3.5,0.23906,0.41612,4.2553,9532,8952.5
0.22865,0.028707,82.263,3.47,0.26545,0.43524,3.5516,9253,9045
0.22865,0.028707,102.94,3.5,0.28294,0.48255,3.1632,9608.5,9569
0.22865,0.028707,126.84,3.5,0.31971,0.48385,2.78,10359,10036
0.22865,0.028707,152.12,3.2,0.36164,0.49288,2.4071,11387,10792
0.22865,0.028707,179.37,3.5,0.37727,0.50808,2.2392,11372,10753
0.22865,0.028707,201.64,3.5,0.39222,0.52464,2.1905,11414,11256
0.22865,0.028707,228.6,3.5,0.41085,0.52231,2.1415,11784,11312
0.22865,0.028707,257.69,3.5,0.42705,0.54999,2.134,11646,11774
0.22865,0.028707,292.01,3.5,0.44034,0.54973,1.8223,11510,11318
0.22865,0.028707,323.18,3.5,0.45207,0.55479,1.8444,11562,11473
0.22865,0.028707,345.83,3.5,0.47133,0.55811,1.6677,11898,11934
0.22865,0.028707,371.9,3.5,0.48124,0.56419,1.6639,11807,11643
0.22865,0.028707,407.19,3.5,0.49094,0.57157,1.5937,11924,11931
0.22865,0.028707,439.58,3.5,0.50118,0.5837,1.5647,11903,11581
0.22865,0.028707,466.35,3.5,0.51849,0.58971,1.5047,12156,12054
