conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.065474,0.042071,5.1873,3.5,0.022711,0.2307,25.485,2194,1645.5
0.065474,0.042071,12.875,3.5,0.074229,0.34833,18.332,5267.5,3892.5
0.065474,0.042071,20.892,3.5,0.15134,0.43346,11.355,9751.5,7203.5
0.065474,0.042071,28.245,3.3,0.22411,0.45662,11.025,12090,9620.5
0.065474,0.042071,36.299,2.89,0.25931,0.50456,9.0113,12453,8668
0.065474,0.042071,45.219,3.5,0.31315,0.53481,5.6545,12586,11094
0.065474,0.042071,53.167,3.5,0.35195,0.5402,5.8429,13061,11436
0.065474,0.042071,62.49,3.5,0.37739,0.54921,4.8252,13070,11895
0.065474,0.042071,70.669,3.5,0.40477,0.55596,4.097,12863,12480
0.065474,0.042071,76.933,3.5,0.43108,0.54891,4.1346,12856,12330
0.065474,0.042071,84.729,3.5,0.44557,0.55375,3.9014,12874,12440
0.065474,0.042071,91.843,3.5,0.4596,0.55896,3.6502,12770,12376
0.065474,0.042071,96.674,3.5,0.47349,0.562,3.3146,12746,12294
0.065474,0.042071,105,3.5,0.48722,0.55338,3.3414,12610,12294
0.065474,0.042071,113.46,3.5,0.50316,0.55408,3.0158,12682,12502
0.065474,0.042071,120.7,3.5,0.51565,0.55119,2.7818,12701,12486
0.065474,0.042071,128.5,3.5,0.52718,0.54996,2.7012,12712,12698
0.065474,0.042071,133.93,3.5,0.53876,0.54463,2.4665,12725,12601
0.065474,0.042071,138.73,3.5,0.55004,0.55007,2.4153,12690,12583
0.065474,0.042071,142.26,3.5,0.56021,0.54613,2.3029,12712,12647
