conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.070057,0.052531,4.4074,2.52,0.021619,0.18931,38.423,2109.5,1793
0.070057,0.052531,11.466,3,0.094112,0.28197,20.275,7089.5,3816.5
0.070057,0.052531,21.635,3.23,0.15723,0.35219,9.0974,8445.5,7485
0.070057,0.052531,33.981,3.31,0.19659,0.41725,7.0539,10328,7384.5
0.070057,0.052531,46.312,3.05,0.23213,0.44081,5.3309,10834,9431
0.070057,0.052531,58.778,2.75,0.28726,0.46237,4.5106,12338,10490
0.070057,0.052531,71.355,3.19,0.32142,0.50311,4.7342,12689,10865
0.070057,0.052531,86.867,3.02,0.34866,0.52232,3.8004,12750,11144
0.070057,0.052531,95.134,3.24,0.37292,0.54382,3.6505,12732,11720
0.070057,0.052531,110.66,3.18,0.39263,0.56205,3.5429,12502,11752
0.070057,0.052531,122.47,3.23,0.41278,0.56769,3.624,12502,12327
0.070057,0.052531,129.3,3.35,0.44001,0.55804,3.2327,13220,12286
0.070057,0.052531,139.32,3.5,0.4548,0.56622,3.0197,13100,12420
0.070057,0.052531,145.79,3.5,0.46812,0.57254,3.0737,12970,12166
0.070057,0.052531,152.85,3.5,0.48373,0.57768,2.8828,13000,12632
0.070057,0.052531,162.27,3.46,0.49626,0.58077,2.8038,12944,12596
0.070057,0.052531,166.98,3.5,0.5079,0.58518,2.6906,12884,12636
0.070057,0.052531,168.58,3.44,0.52017,0.59456,2.6105,12898,12628
0.070057,0.052531,172.84,3.5,0.53257,0.59327,2.4988,12912,12680
0.070057,0.052531,176.43,3.5,0.54243,0.60126,2.4169,12884,12636
