conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.11181,0.02961,4.9105,2.79,0.031223,0.15229,14.976,3388,2519.5
0.11181,0.02961,11.466,3.5,0.10351,0.26086,11.426,8715,5544
0.11181,0.02961,19.433,3.5,0.1737,0.31557,7.3028,10768,7922
0.11181,0.02961,28.308,3.5,0.22604,0.34952,6.187,11073,8815
0.11181,0.02961,39.746,3.5,0.25716,0.39861,5.4354,11041,9056.5
0.11181,0.02961,51.106,3.5,0.31372,0.42122,3.8206,12650,10670
0.11181,0.02961,62.903,3.5,0.34421,0.44765,3.6688,12194,10561
0.11181,0.02961,72.503,3.5,0.37659,0.46292,3.8503,12436,11353
0.11181,0.02961,82.002,3.5,0.39584,0.49739,3.7477,12058,12030
0.11181,0.02961,94.267,3.5,0.41645,0.48881,3.1286,12099,12085
0.11181,0.02961,103.28,3.5,0.43342,0.49028,2.9724,12264,12011
0.11181,0.02961,118.38,3.5,0.44694,0.51009,3.0892,12024,12162
0.11181,0.02961,127.47,3.5,0.46503,0.50955,2.7576,12127,12080
0.11181,0.02961,135.8,3.5,0.48183,0.51306,2.6852,12116,11935
0.11181,0.02961,147.91,3.5,0.49695,0.51633,2.5763,12228,12382
0.11181,0.02961,155.19,3.5,0.51209,0.51348,2.4063,12363,12256
0.11181,0.02961,163.68,3.5,0.53419,0.5277,2.3435,12552,12636
0.11181,0.02961,174.1,3.5,0.54456,0.5344,2.2602,12752,12608
0.11181,0.02961,190.72,3.5,0.55369,0.54676,2.1275,12732,12562
0.11181,0.02961,203.82,3.5,0.56274,0.54756,2.0647,12704,12708
