conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.12507,0.036056,4.0678,2.99,0.020129,0.20219,64.728,1395.5,1746
0.12507,0.036056,10.485,3.5,0.055508,0.31303,52.45,4325,2462.5
0.12507,0.036056,16.943,3.5,0.14151,0.39421,15.23,7466,6423
0.12507,0.036056,22.107,3.5,0.22306,0.47213,9.4107,12519,9329
0.12507,0.036056,26.979,3.5,0.29276,0.48914,10.104,12555,9996
0.12507,0.036056,32.401,3.5,0.32824,0.51071,7.9909,12422,11262
0.12507,0.036056,37.708,3.5,0.3648,0.52745,7.2022,12826,11588
0.12507,0.036056,42.163,3.5,0.3925,0.52705,5.6957,13093,12253
0.12507,0.036056,47.65,3.5,0.41264,0.53201,4.653,13218,12158
0.12507,0.036056,53.386,3.5,0.43013,0.53646,5.0398,12904,12290
0.12507,0.036056,61.27,3.5,0.45145,0.52774,4.287,12753,12533
0.12507,0.036056,66.296,3.5,0.46996,0.52181,3.7287,12774,12564
0.12507,0.036056,72.334,3.5,0.48629,0.5219,3.4602,12823,12518
0.12507,0.036056,78.069,3.5,0.49991,0.52037,3.257,12746,12588
0.12507,0.036056,81.663,3.5,0.51195,0.52441,3.0873,12698,12673
0.12507,0.036056,87.128,3.5,0.5237,0.52769,2.8971,12785,12640
0.12507,0.036056,91.131,3.5,0.53583,0.52324,2.7526,12718,12679
0.12507,0.036056,95.682,3.5,0.54623,0.52487,2.5941,12738,12538
0.12507,0.036056,102.31,3.5,0.55643,0.52336,2.4831,12680,12658
0.12507,0.036056,107.49,3.5,0.57049,0.52593,2.3499,12800,12630
