conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.19549,0.030472,3.3885,3.29,0.027291,0.21115,99.788,2663.5,2127
0.19549,0.030472,9.4157,3.5,0.10898,0.27221,11.382,6168.5,5886
0.19549,0.030472,18.565,3.5,0.17757,0.36703,10.137,10250,7845
0.19549,0.030472,29.176,3.5,0.21712,0.40699,8.5272,10534,8660.5
0.19549,0.030472,43.784,3.5,0.25494,0.43226,6.3188,10746,9054.5
0.19549,0.030472,59.244,3.5,0.28915,0.48718,4.3317,10706,10502
0.19549,0.030472,74.953,3.5,0.31497,0.51,4.696,10613,10342
0.19549,0.030472,91.622,3.5,0.34469,0.51754,3.7164,11313,10626
0.19549,0.030472,109.78,3.5,0.37813,0.53314,3.3856,11972,11598
0.19549,0.030472,130.87,3.5,0.40145,0.53402,3.0182,11955,11454
0.19549,0.030472,154.52,3.5,0.41847,0.54554,2.6574,12048,11629
0.19549,0.030472,176.25,3.5,0.44145,0.56899,2.5437,12088,11846
0.19549,0.030472,199.81,3.5,0.467,0.57402,2.3833,12466,12154
0.19549,0.030472,221.09,3.5,0.4837,0.58152,2.2687,12654,12137
0.19549,0.030472,243.11,3.5,0.49671,0.59433,2.1991,12789,12259
0.19549,0.030472,268.39,3.5,0.50905,0.5893,2.0401,12802,12437
0.19549,0.030472,288.3,3.5,0.52031,0.59517,1.8968,12818,12388
0.19549,0.030472,307.63,3.5,0.53048,0.58564,1.8635,12802,12644
0.19549,0.030472,335.45,3.5,0.54075,0.59459,1.7966,12745,12313
0.19549,0.030472,358.95,3.5,0.55008,0.60438,1.7464,12736,12620
