conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.055351,0.038941,5.4766,2.88,0.024464,0.18497,13.843,2851,1886
0.055351,0.038941,15.001,3.01,0.076964,0.28533,10.384,5914.5,3774.5
0.055351,0.038941,27.345,2.8,0.12442,0.3568,10.767,6768.5,5635
0.055351,0.038941,37.528,2.76,0.17765,0.39913,7.2519,9729.5,6439.5
0.055351,0.038941,48.576,2.58,0.21893,0.44069,6.7683,10113,8588
0.055351,0.038941,58.841,2.56,0.27265,0.48005,5.0308,11486,9877.5
0.055351,0.038941,67.167,2.77,0.31268,0.50289,4.4268,12201,10694
0.055351,0.038941,77.647,3.04,0.34542,0.52269,4.9138,12584,10367
0.055351,0.038941,85.449,3.5,0.37943,0.54241,4.5351,12677,11928
0.055351,0.038941,93.399,3.5,0.40471,0.55482,4.0781,12296,12026
0.055351,0.038941,100,3.5,0.42385,0.55125,3.5151,12538,12108
0.055351,0.038941,104.55,3.5,0.44001,0.56901,3.4767,12333,12264
0.055351,0.038941,109.26,3.5,0.45888,0.58271,3.5499,12610,12285
0.055351,0.038941,114.64,3.5,0.47283,0.58163,3.4284,12516,12233
0.055351,0.038941,119.6,3.5,0.48894,0.58498,3.3208,12514,12346
0.055351,0.038941,123.39,3.5,0.5055,0.59192,3.1613,12712,12507
0.055351,0.038941,125.72,3.5,0.51794,0.59457,2.9089,12785,12554
0.055351,0.038941,127.95,3.5,0.52885,0.59678,2.8299,12725,12590
0.055351,0.038941,128.46,3.5,0.53948,0.5961,2.653,12725,12616
0.055351,0.038941,127.95,3.5,0.5508,0.5929,2.6008,12712,12618
