conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.068775,0.045351,3.6527,3.5,0.021561,0.15999,104.76,2039.5,1674
0.068775,0.045351,10.17,2.06,0.11186,0.31367,16.506,8900.5,6003.5
0.068775,0.045351,17.622,3.5,0.1871,0.39612,10.023,11798,6876
0.068775,0.045351,25.578,3.5,0.24307,0.47534,10.136,11366,9424
0.068775,0.045351,33.469,3.5,0.29215,0.51662,8.3874,12795,10462
0.068775,0.045351,45.571,3.5,0.32117,0.51411,5.6742,13114,10623
0.068775,0.045351,56.613,3.5,0.34954,0.51191,4.7121,12820,11246
0.068775,0.045351,66.905,3.5,0.37806,0.52531,4.4097,13074,11900
0.068775,0.045351,77.26,3.5,0.40057,0.53282,4.1814,13063,12256
0.068775,0.045351,86.719,3.5,0.41995,0.543,3.8331,12994,12130
0.068775,0.045351,96.943,3.5,0.4368,0.55139,3.4361,12962,12438
0.068775,0.045351,107.86,3.49,0.45138,0.54772,3.5487,12902,12154
0.068775,0.045351,117.98,3.5,0.46662,0.54954,3.1334,12770,12454
0.068775,0.045351,125.16,3.5,0.48603,0.54703,2.8996,12861,12525
0.068775,0.045351,133.44,2.69,0.49932,0.55841,2.7635,12785,12388
0.068775,0.045351,145.59,3.5,0.51196,0.56015,2.6617,12768,12484
0.068775,0.045351,153.32,3.5,0.52339,0.56152,2.5262,12738,12664
0.068775,0.045351,162.25,3.5,0.53516,0.56533,2.4469,12712,12681
0.068775,0.045351,167.15,3.5,0.54566,0.56415,2.3761,12681,12498
0.068775,0.045351,174.3,3.5,0.55599,0.56137,2.2367,12690,12546
