conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.033389,0.033201,3.5646,3.5,0.019969,0.21382,241.22,2734,1591.5
0.033389,0.033201,7.378,2.55,0.087574,0.37899,42.436,9802,5229
0.033389,0.033201,12.075,3.5,0.1433,0.49115,12.174,9290.5,6891.5
0.033389,0.033201,17.038,3.5,0.23636,0.51372,16.638,12504,9101
0.033389,0.033201,24.211,3.5,0.29846,0.5081,10.736,12884,9756
0.033389,0.033201,30.703,3.5,0.34125,0.48877,5.8308,13434,10456
0.033389,0.033201,35.934,3.5,0.37612,0.50521,5.5306,12927,11586
0.033389,0.033201,43.219,3.5,0.40324,0.51421,5.3871,13168,12136
0.033389,0.033201,49.436,3.5,0.43166,0.50303,5.0572,13228,12560
0.033389,0.033201,56.506,3.5,0.45155,0.4978,4.058,13164,12308
0.033389,0.033201,63.811,3.5,0.46735,0.49493,3.5986,13164,12490
0.033389,0.033201,70.145,3.5,0.48343,0.48346,3.2725,13136,12618
0.033389,0.033201,78.724,3.5,0.49849,0.48692,3.1267,12950,12558
0.033389,0.033201,86.786,3.5,0.51249,0.48315,2.8166,13020,12650
0.033389,0.033201,94.267,3.5,0.5255,0.48138,2.651,12943,12738
0.033389,0.033201,97.77,3.5,0.53869,0.47454,2.4765,12962,12664
0.033389,0.033201,103.67,3.5,0.5496,0.47568,2.3429,12896,12672
0.033389,0.033201,106.71,3.5,0.56135,0.47124,2.1988,12884,12694
0.033389,0.033201,112.95,3.5,0.57112,0.47248,2.0986,12860,12688
0.033389,0.033201,117.7,3.5,0.57981,0.4733,1.9452,12860,12740
