conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.034804,0.032535,4.1684,1.85,0.029064,0.1539,33.573,4099.5,2314.5
0.034804,0.032535,10.913,3.5,0.077503,0.28132,23.077,5353,3616.5
0.034804,0.032535,18.666,2.32,0.14706,0.40659,11.542,9470.5,8518.5
0.034804,0.032535,26.295,2.71,0.2067,0.44046,11.686,11070,8320
0.034804,0.032535,35.507,3.5,0.2658,0.45854,6.2264,12229,9935
0.034804,0.032535,41.734,3.5,0.32193,0.47797,6.1512,12694,11538
0.034804,0.032535,48.286,3.5,0.35899,0.48469,5.5116,12902,11310
0.034804,0.032535,54.15,3.5,0.38722,0.49647,4.7805,12724,11372
0.034804,0.032535,62.933,3.5,0.41737,0.51643,4.4358,12952,12070
0.034804,0.032535,72.317,3.5,0.44205,0.51828,3.6939,13018,11959
0.034804,0.032535,80.78,3.5,0.45976,0.50528,3.5171,12941,12235
0.034804,0.032535,87.592,3.5,0.47993,0.50521,3.0222,13059,12678
0.034804,0.032535,91.391,3.5,0.49404,0.49632,3.0166,12986,12496
0.034804,0.032535,98.648,3.5,0.50801,0.50265,2.963,13020,12696
0.034804,0.032535,102.39,3.5,0.52225,0.48549,2.7083,12965,12712
0.034804,0.032535,104.81,3.5,0.53517,0.48849,2.5098,12980,12738
0.034804,0.032535,110.64,3.5,0.54573,0.48866,2.2533,12884,12746
0.034804,0.032535,116.76,3.5,0.55609,0.48649,2.2611,12860,12734
0.034804,0.032535,120.38,3.5,0.56789,0.48248,2.1381,12944,12758
0.034804,0.032535,129.04,3.5,0.57669,0.48273,2.0317,12944,12746
