conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.029915,0.038854,2.8476,2.73,0.023085,0.26073,82.176,1799.5,1523.5
0.029915,0.038854,6.9755,2.69,0.10361,0.37587,16.001,9332.5,5433
0.029915,0.038854,12.842,2.53,0.16435,0.4441,13.186,9898,6473.5
0.029915,0.038854,18.673,3.5,0.22537,0.47827,10.748,10786,9552.5
0.029915,0.038854,23.406,3.45,0.28269,0.49613,10.165,12850,10258
0.029915,0.038854,29.206,3.5,0.32343,0.51985,7.2545,12976,11756
0.029915,0.038854,35.72,3.5,0.35837,0.52965,5.9163,13150,11625
0.029915,0.038854,39.018,3.5,0.38946,0.53343,5.7589,13248,11996
0.029915,0.038854,44.103,3.5,0.41275,0.52548,5.7622,12979,12410
0.029915,0.038854,47.436,3.5,0.43411,0.52691,5.0364,13151,12304
0.029915,0.038854,53.056,3.5,0.45327,0.5234,4.1561,13026,12412
0.029915,0.038854,59.177,3.5,0.46825,0.54128,4.2375,12980,12704
0.029915,0.038854,65.365,3.5,0.48209,0.54827,3.8825,13020,12508
0.029915,0.038854,69.692,3.5,0.49851,0.53716,3.5266,12962,12688
0.029915,0.038854,76.355,3.5,0.51174,0.53531,3.2406,13020,12704
0.029915,0.038854,79.178,3.5,0.52415,0.53181,3.0079,12928,12712
0.029915,0.038854,83.308,3.5,0.53438,0.5353,2.8305,12962,12754
0.029915,0.038854,86.387,3.5,0.54512,0.53693,2.7491,12928,12726
0.029915,0.038854,96.521,3.5,0.55558,0.54256,2.574,12872,12730
0.029915,0.038854,100.74,3.5,0.56558,0.54352,2.4861,12872,12764
