conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.094022,0.016321,5.3634,3.5,0.039086,0.17866,18.227,5816,2663.5
0.094022,0.016321,12.573,3.5,0.099551,0.26536,7.8792,6637,6438.5
0.094022,0.016321,21.735,3.5,0.16479,0.3108,8.0363,8925,7735
0.094022,0.016321,31.604,3.5,0.21849,0.37171,6.3301,8738,8455.5
0.094022,0.016321,42.916,3.5,0.26216,0.38381,5.7652,10219,8777.5
0.094022,0.016321,54.716,3.5,0.30857,0.36875,4.6478,11235,10506
0.094022,0.016321,67.582,3.5,0.34963,0.39333,3.9049,11164,10842
0.094022,0.016321,82.201,3.5,0.3809,0.40991,3.3306,11278,10996
0.094022,0.016321,96.983,3.5,0.40592,0.43376,2.5854,11607,11788
0.094022,0.016321,109.56,3.5,0.43247,0.43575,2.6044,11971,11924
0.094022,0.016321,121.72,3.5,0.45863,0.46015,2.4317,12175,12114
0.094022,0.016321,137.55,3.5,0.47866,0.45677,2.3889,12172,11963
0.094022,0.016321,152.04,3.5,0.4978,0.45483,2.0666,12435,12214
0.094022,0.016321,163.91,3.5,0.51601,0.48073,2.1193,12928,12388
0.094022,0.016321,171.31,3.5,0.52809,0.47598,1.9425,12736,12427
0.094022,0.016321,184.11,3.5,0.54271,0.47463,1.8415,12943,12366
0.094022,0.016321,199.28,3.5,0.55464,0.4788,1.8651,12944,12672
0.094022,0.016321,210.12,3.5,0.56511,0.47084,1.7422,12854,12708
0.094022,0.016321,220.16,3.5,0.57489,0.47018,1.6399,13000,12762
0.094022,0.016321,230.26,3.5,0.58318,0.46939,1.6263,12847,12714
