conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.072047,0.031172,5.1747,2.63,0.027758,0.20423,31.968,2373,2987
0.072047,0.031172,12.17,2.59,0.087263,0.24558,13.161,5220.5,5835.5
0.072047,0.031172,19.144,2.65,0.16899,0.37465,13.132,10722,7344.5
0.072047,0.031172,24.937,3.5,0.22829,0.43012,8.0497,11688,8159.5
0.072047,0.031172,32.652,3.5,0.26385,0.47474,5.4836,11096,9218
0.072047,0.031172,38.565,3.5,0.31164,0.4769,6.1942,12352,11134
0.072047,0.031172,44.865,3.5,0.33898,0.48684,5.9997,11942,11038
0.072047,0.031172,51.509,3.5,0.37126,0.49829,5.3515,11810,11573
0.072047,0.031172,59.298,3.5,0.40442,0.49396,3.9698,12506,12184
0.072047,0.031172,64.858,3.5,0.43412,0.49518,4.1462,12786,12332
0.072047,0.031172,74.339,3.5,0.45229,0.50107,3.5975,12814,12320
0.072047,0.031172,82.422,3.5,0.47213,0.50454,3.4555,12836,12384
0.072047,0.031172,91.881,3.5,0.48657,0.50473,3.1407,12629,12390
0.072047,0.031172,100.12,3.5,0.49914,0.50827,2.9399,12865,12561
0.072047,0.031172,108.98,3.5,0.51133,0.51266,2.7189,12953,12724
0.072047,0.031172,118.25,3.5,0.52351,0.52228,2.6467,12724,12606
0.072047,0.031172,129.63,3.5,0.53397,0.52496,2.3835,12840,12660
0.072047,0.031172,138.83,3.5,0.54834,0.53806,2.3174,12872,12730
0.072047,0.031172,145.04,3.5,0.55863,0.54148,2.2251,12824,12720
0.072047,0.031172,157.9,3.5,0.56833,0.54468,2.1626,12898,12670
