conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.07022,0.028238,2.269,3.5,0.025839,0.17676,Inf,3794,1898
0.07022,0.028238,6.8497,3.5,0.11138,0.36999,19.527,9003.5,5168
0.07022,0.028238,11.949,2.78,0.22461,0.41484,13.685,13166,10016
0.07022,0.028238,17.516,2.77,0.28025,0.4459,7.8757,13516,10315
0.07022,0.028238,23.369,3.5,0.3216,0.4634,8.1894,13438,10764
0.07022,0.028238,27.785,3.5,0.3632,0.46131,6.8767,13375,11844
0.07022,0.028238,35.431,3.5,0.39316,0.46283,5.1355,13334,11862
0.07022,0.028238,40.138,3.5,0.41892,0.46935,4.9967,13042,12138
0.07022,0.028238,48.103,3.5,0.43728,0.47813,4.1523,13155,12638
0.07022,0.028238,56.242,3.5,0.45578,0.4818,4.062,13020,12272
0.07022,0.028238,66.78,3.5,0.47124,0.48301,3.7336,12978,12468
0.07022,0.028238,74.082,3.5,0.48546,0.48257,3.2688,12980,12700
0.07022,0.028238,88.133,3.5,0.49961,0.48526,2.7599,12898,12604
0.07022,0.028238,95.943,3.5,0.51177,0.48691,2.7259,13000,12730
0.07022,0.028238,103.89,3.5,0.52464,0.4831,2.4528,12960,12772
0.07022,0.028238,109.83,3.5,0.53698,0.48394,2.346,12952,12668
0.07022,0.028238,119.48,3.5,0.54688,0.48791,2.3294,12928,12674
0.07022,0.028238,129.18,3.5,0.55662,0.49589,2.2047,12835,12704
0.07022,0.028238,143.99,3.5,0.56599,0.50221,2.1361,12872,12658
0.07022,0.028238,150.74,3.5,0.5751,0.50165,2.0482,12868,12736
