conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.082458,0.044342,9.7156,3.5,0.02355,0.12276,6.5013,2284.5,1955.5
0.082458,0.044342,26.548,2.33,0.052056,0.24125,5.5737,3055,3668
0.082458,0.044342,45.521,2.1,0.069385,0.30275,4.874,2834,4208.5
0.082458,0.044342,65.541,2.95,0.093226,0.33636,4.7006,4195,4209.5
0.082458,0.044342,84.048,3.15,0.16417,0.39913,3.8308,8459,6572.5
0.082458,0.044342,103.03,3.17,0.20625,0.41794,3.3457,9315.5,7560
0.082458,0.044342,116.59,3.5,0.24606,0.47158,3.2268,9819.5,9606.5
0.082458,0.044342,134.6,3.19,0.27843,0.49212,2.9801,10860,9578
0.082458,0.044342,152.07,3.5,0.31337,0.52835,2.9211,11190,10771
0.082458,0.044342,166.88,3.5,0.34639,0.55041,2.8342,11288,10592
0.082458,0.044342,179.11,3.06,0.37191,0.56266,2.7336,11891,11423
0.082458,0.044342,191.74,3.02,0.4016,0.56989,2.5388,12180,11691
0.082458,0.044342,199.77,3.02,0.4301,0.56275,2.7184,12377,12172
0.082458,0.044342,210.13,2.98,0.44893,0.57782,2.5114,12632,11998
0.082458,0.044342,215.73,3.07,0.46663,0.59969,2.4984,12449,11894
0.082458,0.044342,225.09,3.08,0.48557,0.60569,2.4527,12370,12393
0.082458,0.044342,226.96,2.94,0.50915,0.58918,2.3037,12716,12426
0.082458,0.044342,237.42,3.5,0.52757,0.59316,2.1577,12973,12628
0.082458,0.044342,240.95,3.42,0.53947,0.60008,2.2153,12896,12578
0.082458,0.044342,241.39,3.34,0.55061,0.59639,2.128,12905,12588
