conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.023588,0.020757,3.3634,3.24,0.029305,0.18601,Inf,2784,2609.5
0.023588,0.020757,7.8182,2.65,0.13159,0.29833,16.054,11682,6011.5
0.023588,0.020757,12.666,2.67,0.22802,0.37179,13.484,12644,8854
0.023588,0.020757,17.201,3.19,0.27792,0.3825,9.0024,12452,10558
0.023588,0.020757,24.111,3.5,0.33702,0.38076,7.5112,13288,10667
0.023588,0.020757,31.86,3.5,0.36978,0.4036,5.1391,13088,11822
0.023588,0.020757,39.431,3.5,0.39203,0.42634,4.7486,13039,11644
0.023588,0.020757,47.559,3.5,0.41545,0.43686,4.3125,13026,11836
0.023588,0.020757,55.851,2.97,0.43449,0.44417,3.6705,12906,12100
0.023588,0.020757,59.99,2.99,0.46118,0.44207,3.4347,13132,12368
0.023588,0.020757,64.377,2.99,0.47822,0.44005,3.1169,13080,12508
0.023588,0.020757,67.101,3.16,0.49452,0.43613,2.9914,13112,12638
0.023588,0.020757,70.384,3.05,0.50854,0.43267,2.8704,13042,12638
0.023588,0.020757,75.516,3.5,0.5208,0.43599,2.6973,12767,12638
0.023588,0.020757,76.166,3.5,0.53399,0.43189,2.4563,13020,12736
0.023588,0.020757,81.267,3.5,0.54589,0.43409,2.3845,13042,12716
0.023588,0.020757,85.974,3.5,0.55569,0.43759,2.2436,12962,12778
0.023588,0.020757,84.613,3.5,0.56651,0.43742,2.1923,12928,12742
0.023588,0.020757,84.495,3.5,0.57566,0.44057,2.1001,12850,12768
0.023588,0.020757,85.268,3.5,0.58404,0.44587,1.992,12898,12782
