conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.052075,0.039763,2.6841,3.5,0.022801,0.21348,73.523,2648,2038
0.052075,0.039763,8.3088,3.5,0.11219,0.31318,17.088,10137,5829.5
0.052075,0.039763,16.528,3.5,0.16143,0.38673,15.15,9910.5,8612.5
0.052075,0.039763,26.723,3.5,0.20735,0.40859,7.8062,10516,7560.5
0.052075,0.039763,37.255,3.5,0.2737,0.44664,6.6877,11030,9551.5
0.052075,0.039763,49.621,3.5,0.31226,0.46213,5.3946,12446,10562
0.052075,0.039763,58.802,3.5,0.34573,0.49267,4.9121,12386,11200
0.052075,0.039763,70.867,3.5,0.37835,0.50474,4.6664,12868,11324
0.052075,0.039763,87.097,3.5,0.39847,0.50318,3.4648,12766,11796
0.052075,0.039763,96.958,2.54,0.42211,0.51351,3.2878,12787,12058
0.052075,0.039763,107.26,2.66,0.44438,0.51846,2.9049,12837,12312
0.052075,0.039763,116.54,2.66,0.46167,0.52728,3.0914,12728,12428
0.052075,0.039763,125.48,2.94,0.47972,0.52439,2.8297,12953,12483
0.052075,0.039763,134.85,3.5,0.49192,0.52754,2.6283,12834,12582
0.052075,0.039763,144.34,3.5,0.5036,0.52481,2.5788,12840,12579
0.052075,0.039763,151.49,3.5,0.51591,0.52263,2.4599,12840,12594
0.052075,0.039763,161.01,3.5,0.52766,0.52679,2.3693,12821,12676
0.052075,0.039763,169.14,3.5,0.53734,0.5289,2.2923,12732,12517
0.052075,0.039763,177.9,3.5,0.5481,0.53141,2.1474,12658,12489
0.052075,0.039763,184.56,3.5,0.56056,0.53481,2.1013,12782,12684
