conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.12188,0.045469,6.0426,2.59,0.027777,0.1715,18.514,3533.5,2339
0.12188,0.045469,15.655,3.5,0.065033,0.28849,9.6595,5110.5,4398.5
0.12188,0.045469,26.628,3.5,0.093083,0.38167,9.4805,5266,5022.5
0.12188,0.045469,38.509,3.5,0.12465,0.39498,8.5313,5619.5,5386.5
0.12188,0.045469,54.425,3.24,0.14935,0.44572,8.4993,6122,5403
0.12188,0.045469,68.69,3.5,0.22746,0.47406,5.12,9923.5,7642.5
0.12188,0.045469,85.972,3.5,0.2514,0.50956,4.8682,10074,8686
0.12188,0.045469,100.8,3.5,0.30251,0.5404,4.2233,10373,8959.5
0.12188,0.045469,120.71,3.5,0.32388,0.54095,3.7692,11389,11167
0.12188,0.045469,137.27,3.23,0.35952,0.5506,3.4336,11343,11332
0.12188,0.045469,154.83,3.5,0.38425,0.56602,3.1074,11946,11490
0.12188,0.045469,169.48,3.15,0.40316,0.57819,3.0515,12007,11554
0.12188,0.045469,184.22,3.5,0.4229,0.58935,2.7681,12261,11792
0.12188,0.045469,194.96,3.5,0.43994,0.60129,2.7711,12157,11954
0.12188,0.045469,210.25,3.5,0.46237,0.60435,2.591,12488,12104
0.12188,0.045469,226.36,3.5,0.47591,0.60833,2.4908,12594,11896
0.12188,0.045469,238.29,3.5,0.4881,0.61705,2.5471,12628,12356
0.12188,0.045469,249.12,3.5,0.49987,0.6314,2.3538,12682,12464
0.12188,0.045469,259.64,3.5,0.51384,0.62592,2.2415,12700,12204
0.12188,0.045469,268.99,3.5,0.5251,0.64009,2.2345,12778,12282
