conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.04715,0.037238,2.5835,3.5,0.019095,0.26679,314.16,1385.5,1420.5
0.04715,0.037238,5.9692,3.5,0.090147,0.34873,31.94,7515,3688.5
0.04715,0.037238,10.503,3.5,0.18716,0.43008,14.854,11396,7344.5
0.04715,0.037238,14.006,3.5,0.24721,0.47494,12.534,12620,10054
0.04715,0.037238,18.06,3.5,0.3036,0.48637,9.2829,13038,10267
0.04715,0.037238,22.778,3.5,0.34083,0.48942,8.675,13156,11853
0.04715,0.037238,26.764,3.5,0.37236,0.48194,6.1838,12996,11774
0.04715,0.037238,31.295,3.5,0.39702,0.47944,5.8972,13083,12077
0.04715,0.037238,35.663,3.5,0.42359,0.48256,5.1262,13144,12405
0.04715,0.037238,38.682,3.5,0.44554,0.48817,4.6818,13070,12460
0.04715,0.037238,40.516,3.5,0.4618,0.50145,4.4424,13082,12658
0.04715,0.037238,44.296,3.5,0.47692,0.50733,4.151,13042,12654
0.04715,0.037238,47.164,3.5,0.49016,0.50475,3.8423,12944,12574
0.04715,0.037238,49.365,3.5,0.50193,0.50945,3.4012,13000,12746
0.04715,0.037238,52.694,3.5,0.51396,0.5135,3.343,12860,12724
0.04715,0.037238,56.461,3.5,0.52676,0.51554,3.0801,12944,12684
0.04715,0.037238,57.71,3.5,0.53816,0.51135,2.9482,12884,12718
0.04715,0.037238,60.148,3.5,0.54998,0.51247,2.7732,12944,12750
0.04715,0.037238,63.401,3.5,0.55985,0.51564,2.6489,12912,12724
0.04715,0.037238,67.004,3.5,0.56889,0.51914,2.513,12872,12722
