conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.075814,0.044321,5.0741,3.34,0.030797,0.20326,11.153,3798,2845.5
0.075814,0.044321,16.183,3.13,0.089542,0.24658,9.7299,7925,4783.5
0.075814,0.044321,29.182,2.91,0.16222,0.32565,4.1172,10380,5951
0.075814,0.044321,43.151,2.96,0.2117,0.38033,4.4644,10808,9187
0.075814,0.044321,61.142,2.18,0.25481,0.44343,3.6448,11356,9498
0.075814,0.044321,74.854,2.79,0.29669,0.45777,3.2316,12414,9940
0.075814,0.044321,92.45,2.78,0.32658,0.49397,3.3841,12358,9891.5
0.075814,0.044321,109.57,2.68,0.35334,0.50027,3.3137,12310,11029
0.075814,0.044321,126.39,2.87,0.37679,0.49815,2.7372,12494,11712
0.075814,0.044321,141.27,2.71,0.40173,0.5103,2.5428,12800,12031
0.075814,0.044321,149.72,2.32,0.4262,0.51291,2.5071,12754,12203
0.075814,0.044321,164.25,3.02,0.44319,0.5207,2.6005,12896,12467
0.075814,0.044321,177.65,3.5,0.45881,0.53158,2.6329,12928,12401
0.075814,0.044321,195.82,2.85,0.47113,0.53277,2.2648,13004,12612
0.075814,0.044321,213.47,3.5,0.48297,0.55339,2.312,12933,12520
0.075814,0.044321,222.94,2.86,0.49977,0.56519,2.3195,12875,12576
0.075814,0.044321,234.8,2.89,0.51501,0.57944,2.1962,12926,12738
0.075814,0.044321,244.92,2.98,0.52693,0.58167,2.1693,12980,12724
0.075814,0.044321,248.33,2.94,0.53772,0.58535,2.1182,12872,12686
0.075814,0.044321,249.29,2.94,0.54808,0.58647,2.0627,12912,12722
