conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.027512,0.038752,5.7281,1.82,0.024433,0.13475,19.68,2664,1684.5
0.027512,0.038752,13.441,3.5,0.052822,0.27487,17.009,2842.5,2505
0.027512,0.038752,20.503,2.14,0.166,0.33139,11.238,10211,6646.5
0.027512,0.038752,27.918,2.25,0.23928,0.40161,6.8107,13469,8869.5
0.027512,0.038752,32.463,2.35,0.2916,0.47904,7.1108,13424,10339
0.027512,0.038752,37.621,3.5,0.3277,0.46515,5.5289,13247,11444
0.027512,0.038752,42.89,3.5,0.36453,0.46366,4.718,13544,11469
0.027512,0.038752,46.352,3.5,0.39157,0.48025,5.1727,13164,11914
0.027512,0.038752,50.518,3.5,0.417,0.48464,4.4323,13119,12325
0.027512,0.038752,54.279,3.5,0.43748,0.49313,4.0516,13218,12115
0.027512,0.038752,59.258,3.5,0.45477,0.50089,4.0327,12953,12248
0.027512,0.038752,67.856,3.5,0.47178,0.49559,3.5558,12832,12296
0.027512,0.038752,73.466,3.5,0.48695,0.49366,3.2474,12861,12568
0.027512,0.038752,80.711,3.5,0.4999,0.49621,3.1668,12753,12453
0.027512,0.038752,88.242,3.5,0.51563,0.49588,2.8867,12936,12674
0.027512,0.038752,95.682,3.5,0.52799,0.49377,2.6947,12910,12646
0.027512,0.038752,100.84,3.5,0.53871,0.50085,2.5979,12928,12718
0.027512,0.038752,108.11,3.5,0.5494,0.50316,2.3835,12962,12784
0.027512,0.038752,119.14,3.5,0.55975,0.50464,2.2607,12910,12680
0.027512,0.038752,126.16,3.5,0.56976,0.50841,2.1459,12912,12664
