conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.038033,0.039082,2.7847,2.63,0.023978,0.1843,445.23,3338,2027.5
0.038033,0.039082,7.6799,3.34,0.085286,0.37003,22.594,5677,5247.5
0.038033,0.039082,13.144,3.41,0.18631,0.46432,16.073,12708,8403.5
0.038033,0.039082,21.1,3.5,0.24396,0.50294,13.009,12082,9148.5
0.038033,0.039082,29.381,3.5,0.30363,0.50561,6.783,13846,10750
0.038033,0.039082,37.86,3.5,0.34575,0.47597,6.2878,13940,11592
0.038033,0.039082,50.563,3.5,0.36863,0.47913,5.6614,13782,11990
0.038033,0.039082,60.15,3.5,0.40135,0.49318,4.1653,13682,11754
0.038033,0.039082,73.072,3.5,0.42025,0.5028,3.9419,13560,12180
0.038033,0.039082,81.537,3.5,0.44045,0.49411,3.4586,13280,12394
0.038033,0.039082,92.088,3.5,0.45819,0.49,3.2076,13220,12390
0.038033,0.039082,104.09,3.5,0.47246,0.48674,2.9738,13344,12590
0.038033,0.039082,109.89,3.5,0.48958,0.48431,2.7728,13020,12596
0.038033,0.039082,121.11,3.5,0.50375,0.48442,2.5836,12980,12734
0.038033,0.039082,135.1,3.5,0.51764,0.4806,2.3526,12928,12676
0.038033,0.039082,144.35,3.5,0.52859,0.48528,2.3107,12928,12606
0.038033,0.039082,151.02,3.5,0.54103,0.48511,2.1609,12928,12702
0.038033,0.039082,158.41,3.5,0.55227,0.4886,2.0848,12980,12654
0.038033,0.039082,164.71,3.5,0.56281,0.48918,2.042,12912,12710
0.038033,0.039082,173.75,3.5,0.57303,0.49186,1.906,12980,12768
