conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.097673,0.031979,6.2942,2.24,0.032375,0.19449,15.284,3701,2482.5
0.097673,0.031979,17.906,3.5,0.066634,0.28745,10.183,4079.5,4040
0.097673,0.031979,31.823,3.5,0.11135,0.33908,5.9311,5040.5,7010
0.097673,0.031979,46.019,3.5,0.16767,0.35728,6.5804,9769.5,7422.5
0.097673,0.031979,59.645,1.98,0.23932,0.40752,4.6932,12268,9429.5
0.097673,0.031979,72.389,2.08,0.28858,0.45004,3.6986,12188,9999
0.097673,0.031979,85.808,2.14,0.32899,0.4956,3.4942,12212,9366
0.097673,0.031979,98.742,2.21,0.37122,0.50294,3.2328,12868,11404
0.097673,0.031979,115.01,2.22,0.39223,0.51406,2.9986,12846,11924
0.097673,0.031979,127.03,2.4,0.41522,0.54488,2.9689,13038,12330
0.097673,0.031979,143.17,2.56,0.43554,0.53371,2.8409,13094,12214
0.097673,0.031979,155.11,2.62,0.45321,0.53212,2.7377,13060,12064
0.097673,0.031979,165.23,3.5,0.46729,0.54761,2.5119,12874,12422
0.097673,0.031979,177.7,3.5,0.48644,0.5472,2.3433,12905,12538
0.097673,0.031979,190.18,3.5,0.50392,0.54575,2.3544,12998,12588
0.097673,0.031979,203.08,3.5,0.51691,0.54606,2.1512,12948,12552
0.097673,0.031979,219.06,3.5,0.52909,0.54633,2.1245,12855,12524
0.097673,0.031979,228.08,3.5,0.54055,0.54576,1.944,12854,12634
0.097673,0.031979,235.97,3.5,0.55296,0.53805,1.9213,12814,12692
0.097673,0.031979,248.27,3.5,0.56293,0.53871,1.8904,12912,12560
