conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.12845,0.030871,4.3193,3.5,0.026379,0.18272,31.257,3224.5,2095
0.12845,0.030871,12.749,3.22,0.094416,0.29321,12.454,8354,4685
0.12845,0.030871,21.018,3.35,0.16101,0.34252,5.8,10606,7614.5
0.12845,0.030871,32.585,3.5,0.20121,0.38062,6.8103,10258,7920
0.12845,0.030871,42.501,3.5,0.24551,0.40073,4.8106,10138,9331
0.12845,0.030871,53.344,3.5,0.28848,0.43783,4.3914,10955,10434
0.12845,0.030871,62.903,3.5,0.32255,0.45871,4.4717,11164,10914
0.12845,0.030871,75.798,3.5,0.35534,0.4604,4.2323,11257,11436
0.12845,0.030871,87.864,3.5,0.38441,0.48076,3.4682,12105,11730
0.12845,0.030871,97.764,3.5,0.40853,0.48387,3.3143,11991,11452
0.12845,0.030871,109.4,3.5,0.42472,0.50307,3.1178,12269,11824
0.12845,0.030871,122.41,3.5,0.44457,0.51254,2.9836,12234,11960
0.12845,0.030871,131.84,3.5,0.46607,0.52041,2.8655,12439,12154
0.12845,0.030871,145.49,3.5,0.47833,0.5244,2.7748,12373,11904
0.12845,0.030871,157.05,3.5,0.4912,0.53424,2.571,12288,12276
0.12845,0.030871,168.8,3.5,0.51231,0.5408,2.4158,12587,12378
0.12845,0.030871,184.38,3.5,0.52267,0.54774,2.2612,12482,12342
0.12845,0.030871,198.61,3.5,0.53396,0.5506,2.0651,12475,12688
0.12845,0.030871,208.67,3.5,0.5439,0.55191,2.0775,12578,12476
0.12845,0.030871,219.08,3.5,0.5573,0.55757,2.0506,12638,12502
