conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.171,0.02935,6.8476,2,0.014461,0.12823,45.894,1230,1596
0.171,0.02935,10.837,2.95,0.077061,0.38241,21.329,7714.5,4275
0.171,0.02935,15.547,3.25,0.1916,0.45158,12.005,12858,5782
0.171,0.02935,20.61,3.5,0.2527,0.45881,11.322,13261,10068
0.171,0.02935,26.073,3.25,0.29758,0.47129,8.2282,13290,10706
0.171,0.02935,30.879,3.5,0.33243,0.4834,7.3683,12616,11038
0.171,0.02935,36.752,3.5,0.37621,0.49494,5.7203,13200,11763
0.171,0.02935,44.213,3.5,0.39985,0.5043,4.711,12998,11964
0.171,0.02935,48.606,3.5,0.42373,0.49639,4.9337,12990,12052
0.171,0.02935,55.801,3.5,0.4429,0.49787,4.0467,12790,12350
0.171,0.02935,63.786,3.5,0.46122,0.49937,4.0558,12676,12408
0.171,0.02935,71.466,3.5,0.47591,0.50592,3.4595,12662,12404
0.171,0.02935,77.68,3.5,0.49057,0.50267,3.2352,12626,12486
0.171,0.02935,86.245,3.5,0.50316,0.50332,3.0258,12594,12364
0.171,0.02935,97.059,3.5,0.51456,0.50781,2.7884,12580,12540
0.171,0.02935,106.55,3.5,0.52541,0.51273,2.6294,12566,12474
0.171,0.02935,117.45,3.5,0.53917,0.51586,2.4981,12724,12589
0.171,0.02935,126.69,3.5,0.54909,0.51327,2.3749,12672,12579
0.171,0.02935,139.59,3.5,0.55927,0.51891,2.2524,12690,12701
0.171,0.02935,147.77,3.5,0.56817,0.5186,2.1751,12672,12599
