conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.16332,0.032681,5.5772,2.74,0.027423,0.19378,17.201,2647,2496.5
0.16332,0.032681,17.214,1.61,0.065578,0.25918,11.081,3429.5,4398
0.16332,0.032681,30.477,1.76,0.13473,0.31055,4.9375,7787,6283
0.16332,0.032681,44.333,3.5,0.19097,0.37552,6.0416,9333.5,7849
0.16332,0.032681,59.658,2.9,0.23769,0.43744,4.6502,9916,9204.5
0.16332,0.032681,77.973,3.5,0.27426,0.46307,3.7895,10722,10628
0.16332,0.032681,94.827,3.5,0.32464,0.48148,3.1598,11291,10558
0.16332,0.032681,114.23,3.5,0.34893,0.50701,2.5772,11766,10650
0.16332,0.032681,127.69,3.18,0.38238,0.50843,2.6913,12440,11780
0.16332,0.032681,144.58,2.47,0.40033,0.51932,2.6556,12184,11700
0.16332,0.032681,162.92,2.83,0.4125,0.52909,2.4395,11944,11850
0.16332,0.032681,184.47,3.5,0.42945,0.53742,2.3081,11816,11632
0.16332,0.032681,199.09,3.5,0.44884,0.53571,2.2559,12020,11960
0.16332,0.032681,216.36,2.61,0.4645,0.53309,2.2935,12126,12108
0.16332,0.032681,228.67,2.87,0.48384,0.54359,2.1234,12259,12178
0.16332,0.032681,243.32,2.73,0.49657,0.54296,2.0582,12125,12056
0.16332,0.032681,260.52,3.5,0.51141,0.55534,2.0319,12331,12252
0.16332,0.032681,279.83,3.5,0.52141,0.56319,1.9027,12264,12511
0.16332,0.032681,294.68,2.79,0.5367,0.56486,1.8898,12500,12420
0.16332,0.032681,318.88,3.5,0.55047,0.56684,1.7797,12508,12384
