conn-mean,conn-var,ddist-var,ddist-plaw,eff,ddist-mean,smworld,robtarget,robrandom
0.15078,0.031168,5.2627,3.15,0.038067,0.16385,9.503,4556,3055.5
0.15078,0.031168,12.887,3.5,0.08241,0.27361,24.891,6311.5,4401.5
0.15078,0.031168,23.66,3.5,0.18037,0.34196,8.4445,10120,7950
0.15078,0.031168,37.251,3.13,0.24154,0.36749,4.8831,11500,8912.5
0.15078,0.031168,48.928,3.2,0.29659,0.41919,4.6198,12397,9867
0.15078,0.031168,62.313,3.14,0.33551,0.44788,3.5603,12927,11224
0.15078,0.031168,76.978,3.13,0.37144,0.45447,3.6097,13185,11803
0.15078,0.031168,94.201,3.39,0.39827,0.45925,3.1426,13235,11775
0.15078,0.031168,112.08,3.21,0.41804,0.49426,2.8754,13078,11792
0.15078,0.031168,128.66,3.5,0.43613,0.48949,2.593,12774,12010
0.15078,0.031168,145.19,3.5,0.452,0.50285,2.4934,12994,12328
0.15078,0.031168,161.23,3.5,0.47184,0.50707,2.4236,13147,12414
0.15078,0.031168,179.98,3.5,0.48483,0.51881,2.2867,13066,12438
0.15078,0.031168,194.19,3.5,0.49925,0.52756,2.1165,13082,12518
0.15078,0.031168,215.21,3.5,0.51097,0.52921,2.0684,12932,12478
0.15078,0.031168,235.32,3.5,0.52298,0.53381,1.9252,12970,12604
0.15078,0.031168,250.6,3.5,0.53514,0.54276,1.8486,12890,12736
0.15078,0.031168,265.59,3.32,0.54413,0.54219,1.8411,12929,12714
0.15078,0.031168,284.95,3.5,0.55471,0.54731,1.7723,12944,12690
0.15078,0.031168,299.98,3.5,0.56356,0.55232,1.7267,12848,12678
