"","cohen.D","tstat","df","raw","fdr","bonferroni","n","p0.05"
"L_bankssts_surfavg",0.260727010774807,1.16932867416048,76.5936469022435,0.245897368709869,0.609865312959448,1,79,FALSE
"L_caudalanteriorcingulate_surfavg",0.0853549577698358,0.38191314101793,72.3197067240135,0.703645717678967,0.886072385225366,1,79,FALSE
"L_caudalmiddlefrontal_surfavg",0.437342447820044,1.9661244443212,76.0137216054341,0.0529357702240376,0.318413873704472,1,79,FALSE
"L_cuneus_surfavg",-0.137411556014204,-0.617014312743718,76.9667506894849,0.539046308029273,0.873941421779845,1,79,FALSE
"L_entorhinal_surfavg",0.0974493489557286,0.438536158166645,74.2416714948712,0.662271162565164,0.873941421779845,1,79,FALSE
"L_fusiform_surfavg",0.509038375614076,2.28700102446789,76.6795351533223,0.0249550166791936,0.318413873704472,1,79,FALSE
"L_inferiorparietal_surfavg",0.344463466469949,1.54561486744124,76.9025453449701,0.126303091387971,0.452684850847479,1,79,FALSE
"L_inferiortemporal_surfavg",0.234886543520058,1.05519457298456,76.7489515786463,0.294646763969892,0.62612437343602,1,79,FALSE
"L_isthmuscingulate_surfavg",0.123586346567871,0.554055372700321,76.1926632087922,0.581163473263198,0.873941421779845,1,79,FALSE
"L_lateraloccipital_surfavg",0.459758667694083,2.06303940735022,76.9207326906025,0.0424835462418487,0.318413873704472,1,79,FALSE
"L_lateralorbitofrontal_surfavg",0.2494432173715,1.11999559233976,76.9806240797651,0.26619784471896,0.609865312959448,1,79,FALSE
"L_lingual_surfavg",-0.092235643598918,-0.412566353186007,71.4196832626524,0.681160225798997,0.873941421779845,1,79,FALSE
"L_medialorbitofrontal_surfavg",0.520188689226824,2.32818922917,73.0447902171988,0.0226738887208304,0.318413873704472,1,79,FALSE
"L_middletemporal_surfavg",0.378430109409266,1.69737804154336,76.6735903020312,0.0936810258038948,0.418971052743252,1,79,FALSE
"L_parahippocampal_surfavg",0.442920032032239,1.98665345519197,76.6805199228096,0.0505334810893489,0.318413873704472,1,79,FALSE
"L_paracentral_surfavg",0.0392021270624618,0.175513361777838,73.8328147679991,0.861156739897268,0.973216016003102,1,79,FALSE
"L_parsopercularis_surfavg",0.0473980350673668,0.212326234132126,74.9903560937311,0.832428605228978,0.970650144731773,1,79,FALSE
"L_parsorbitalis_surfavg",0.097646567706057,0.437508790058091,75.3445965669599,0.662993975916594,0.873941421779845,1,79,FALSE
"L_parstriangularis_surfavg",0.108912598332956,0.487154757640841,71.3787027803641,0.627641406075861,0.873941421779845,1,79,FALSE
"L_pericalcarine_surfavg",-0.193492711037919,-0.86874238164707,76.9877946798342,0.387688255616863,0.732300038387408,1,79,FALSE
"L_postcentral_surfavg",-0.0358245723689079,-0.160367053352462,73.4765114175344,0.873032014355724,0.973216016003102,1,79,FALSE
"L_posteriorcingulate_surfavg",0.249113940859481,1.12065667051029,74.9512597053601,0.266011992680402,0.609865312959448,1,79,FALSE
"L_precentral_surfavg",0.134709288444593,0.602142054834091,69.3609481220203,0.54904299022628,0.873941421779845,1,79,FALSE
"L_precuneus_surfavg",0.0185440047006768,0.0832485662819926,76.9992899963214,0.933869941485177,0.998920229240823,1,79,FALSE
"L_rostralanteriorcingulate_surfavg",0.526731958129176,2.36268365969887,76.7134384335316,0.0206781854053638,0.318413873704472,1,79,FALSE
"L_rostralmiddlefrontal_surfavg",0.372741800622004,1.67207351803021,76.7636155953609,0.0985814241748829,0.418971052743252,1,79,FALSE
"L_superiorfrontal_surfavg",0.413200378304005,1.84904373363427,72.6277904225075,0.0685211506366375,0.358418326407027,1,79,FALSE
"L_superiorparietal_surfavg",0.0485481631753425,0.218200728676695,76.3139431860729,0.827855149969408,0.970650144731773,1,79,FALSE
"L_superiortemporal_surfavg",0.446067217444415,2.00092882643674,76.7387142750084,0.0489364718575002,0.318413873704472,1,79,FALSE
"L_supramarginal_surfavg",0.2136579705621,0.959815260554822,76.7580943759403,0.340161901841893,0.680323803683786,1,79,FALSE
"L_frontalpole_surfavg",0.214755499145023,0.962447846570166,75.7248558902293,0.338888044450728,0.680323803683786,1,79,FALSE
"L_temporalpole_surfavg",0.184051159623585,0.827558495157097,75.7841534825766,0.410518957175244,0.754467272646395,1,79,FALSE
"L_transversetemporal_surfavg",0.586524068594835,2.63290864816578,76.9998987586571,0.0102262327166912,0.318413873704472,0.695383824734999,79,FALSE
"L_insula_surfavg",0.165611509821762,0.742949599608526,76.7953497271936,0.459778923477039,0.801665815293298,1,79,FALSE
"R_bankssts_surfavg",0.326654392954682,1.46351965613793,75.2665204104013,0.147489127696273,0.477583842064121,1,79,FALSE
"R_caudalanteriorcingulate_surfavg",-0.000302622559273393,-0.00135770230518643,76.8412977619488,0.998920229240823,0.998920229240823,1,79,FALSE
"R_caudalmiddlefrontal_surfavg",0.243709286638864,1.09229558895912,75.8438916832272,0.27816075749075,0.610159080947452,1,79,FALSE
"R_cuneus_surfavg",-0.00842070968447168,-0.0377728512722478,76.7382978843096,0.969966883211011,0.998920229240823,1,79,FALSE
"R_entorhinal_surfavg",-0.202695875397782,-0.915180387478386,63.8999292883575,0.363537681396717,0.706301780999336,1,79,FALSE
"R_fusiform_surfavg",0.340593009541754,1.53033770793643,76.612971606579,0.130051969606307,0.452684850847479,1,79,FALSE
"R_inferiorparietal_surfavg",0.337905571989137,1.51791518888832,76.7827844140184,0.133142603190435,0.452684850847479,1,79,FALSE
"R_inferiortemporal_surfavg",0.251937662466734,1.13202171738003,76.5929968977373,0.261156952027047,0.609865312959448,1,79,FALSE
